date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:15	23/23	---M--	200	added ('OK')	text/plain	etag:%223a32734d5ad61:0%22	http://www.tourdaum.com/robots.txt		(from )
00:00:15	38041/38041	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:15%20GMT	http://www.tourdaum.com/	C:/Dia/Dia/www.tourdaum.com/index.html	(from )
00:00:16	220/220	---M--	302	error ('Redirect')	text/html	date:Wed,%2006%20Jul%202022%2015:00:15%20GMT	http://m.tourdaum.com/upload/kakao/tourdaum.jpg	C:/Dia/Dia/m.tourdaum.com/upload/kakao/tourdaum.0.delayed	(from http://www.tourdaum.com/)
00:00:16	1518/1518	---M--	200	added ('OK')	image/x-icon	etag:%2297d37736835ed61:0%22	http://www.tourdaum.com/Resources/Images/favicon.ico	C:/Dia/Dia/www.tourdaum.com/Resources/Images/favicon.ico	(from http://www.tourdaum.com/)
00:00:16	122/122	---M--	200	added ('OK')	text/css	etag:%224052ff30835ed61:0%22	http://www.tourdaum.com/Resources/css/style.css	C:/Dia/Dia/www.tourdaum.com/Resources/css/style.css	(from http://www.tourdaum.com/)
00:00:16	7247/7247	---M--	200	added ('OK')	text/css	etag:%22172b2a31835ed61:0%22	http://www.tourdaum.com/Resources/css/bxslider.css	C:/Dia/Dia/www.tourdaum.com/Resources/css/bxslider.css	(from http://www.tourdaum.com/)
00:00:17	1471/1471	---M--	200	added ('OK')	application/javascript	etag:%22e6cd7ee1bf58d61:0%22	http://www.tourdaum.com/Resources/js/common.js	C:/Dia/Dia/www.tourdaum.com/Resources/js/common.js	(from http://www.tourdaum.com/)
00:00:20	19132/19132	---M--	200	added ('OK')	application/javascript	etag:%22959bf83c835ed61:0%22	http://www.tourdaum.com/Resources/js/jquery.bxslider.min.js	C:/Dia/Dia/www.tourdaum.com/Resources/js/jquery.bxslider.min.js	(from http://www.tourdaum.com/)
00:00:20	41435/41435	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2007:01:00%20GMT	http://t1.daumcdn.net/adfit/static/kp.js	C:/Dia/Dia/t1.daumcdn.net/adfit/static/kp.js	(from http://www.tourdaum.com/)
00:00:20	176/176	---M--	302	error ('Found')	text/html	date:Wed,%2006%20Jul%202022%2015:00:20%20GMT	http://www.tourdaum.com/Mypage/MyGrade	C:/Dia/Dia/www.tourdaum.com/Mypage/MyGrade.9.delayed	(from http://www.tourdaum.com/)
00:00:20	182/182	---M--	302	error ('Found')	text/html	date:Wed,%2006%20Jul%202022%2015:00:20%20GMT	http://www.tourdaum.com/login?returnUrl=%2fMypage%2fMyGrade	C:/Dia/Dia/www.tourdaum.com/login.a84fc.delayed	(from http://www.tourdaum.com/)
00:00:21	32624/32624	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:20%20GMT	http://www.tourdaum.com/Product/ProductList?divCd=D	C:/Dia/Dia/www.tourdaum.com/Product/ProductList3a99.html	(from http://www.tourdaum.com/)
00:00:22	8043/8043	---M--	200	added ('OK')	image/png	etag:%221e84430c21ed71:0%22	http://www.tourdaum.com/Resources/images/logo.png	C:/Dia/Dia/www.tourdaum.com/Resources/images/logo.png	(from http://www.tourdaum.com/)
00:00:22	32995/32995	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:21%20GMT	http://www.tourdaum.com/Product/ProductList?divCd=N	C:/Dia/Dia/www.tourdaum.com/Product/ProductList9e6b.html	(from http://www.tourdaum.com/)
00:00:23	24096/24096	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:22%20GMT	http://www.tourdaum.com/Product/PlanProductList	C:/Dia/Dia/www.tourdaum.com/Product/PlanProductList.html	(from http://www.tourdaum.com/)
00:00:24	25009/25009	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:24%20GMT	http://www.tourdaum.com/Product/ProductLocationList	C:/Dia/Dia/www.tourdaum.com/Product/ProductLocationList.html	(from http://www.tourdaum.com/)
00:00:25	28190/28190	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:24%20GMT	http://www.tourdaum.com/Customer/NoticeList	C:/Dia/Dia/www.tourdaum.com/Customer/NoticeList.html	(from http://www.tourdaum.com/)
00:00:25	0/-1	---M--	302	error ('')			http://www.tourdaum.com/Mypage/MyGrade	C:/Dia/Dia/www.tourdaum.com/Mypage/MyGrade.11.delayed	(from http://www.tourdaum.com/)
00:00:25	0/-1	---M--	302	error ('')			http://www.tourdaum.com/login?returnUrl=%2fMypage%2fMyGrade	C:/Dia/Dia/www.tourdaum.com/login.1284fc.delayed	(from http://www.tourdaum.com/)
00:00:27	5018/5018	---M--	200	added ('OK')	image/png	etag:%224b92240c21ed71:0%22	http://www.tourdaum.com/Resources/images/bnr_nav.png	C:/Dia/Dia/www.tourdaum.com/Resources/images/bnr_nav.png	(from http://www.tourdaum.com/)
00:00:27	69757/69757	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:27%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0193	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect7146.html	(from http://www.tourdaum.com/)
00:00:30	53196/53196	---M--	200	added ('OK')	application/javascript	etag:%2240785befba1fd71:0%22	http://www.tourdaum.com/Scripts/common.js	C:/Dia/Dia/www.tourdaum.com/Scripts/common.js	(from http://www.tourdaum.com/)
00:00:30	70387/70387	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:30%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0192	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect5f32.html	(from http://www.tourdaum.com/)
00:00:33	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%2297c2cd3c835ed61:0%22	http://www.tourdaum.com/Resources/js/jquery.min.js	C:/Dia/Dia/www.tourdaum.com/Resources/js/jquery.min.js	(from http://www.tourdaum.com/)
00:00:34	68515/68515	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:00:34%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0191	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect4f1a.html	(from http://www.tourdaum.com/)
00:02:10	604470/604470	---M--	200	added ('OK')	image/jpeg	etag:%223876124ca370d81:0%22	http://www.tourdaum.com/upload/banner/main/pc_banner2_1.jpg	C:/Dia/Dia/www.tourdaum.com/upload/banner/main/pc_banner2_1.jpg	(from http://www.tourdaum.com/)
00:02:11	60973/60973	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:02:10%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DN0039	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect7c6f.html	(from http://www.tourdaum.com/)
00:02:21	647792/647792	---M--	200	added ('OK')	image/jpeg	etag:%227456ee9b323d81:0%22	http://www.tourdaum.com/upload/banner/main/%eb%a1%a4%eb%a7%81%eb%b0%b0%eb%84%88_%ec%9a%b8%eb%a6%89%eb%8f%84.jpg	C:/Dia/Dia/www.tourdaum.com/upload/banner/main/%eb%a1%a4%eb%a7%81%eb%b0%b0%eb%84%88_%ec%9a%b8%eb%a6%89%eb%8f%84.jpg	(from http://www.tourdaum.com/)
00:02:21	69571/69571	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:02:21%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0194	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect784a.html	(from http://www.tourdaum.com/)
00:02:34	768423/768423	---M--	200	added ('OK')	image/jpeg	etag:%227ec2dc208f71d81:0%22	http://www.tourdaum.com/upload/banner/main/pc_banner_9.jpg	C:/Dia/Dia/www.tourdaum.com/upload/banner/main/pc_banner_9.jpg	(from http://www.tourdaum.com/)
00:02:34	69818/69818	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:02:34%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0195	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect01e4.html	(from http://www.tourdaum.com/)
00:03:12	70221/70221	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:03:11%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DN0049	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelectec30.html	(from http://www.tourdaum.com/)
00:03:49	219877/219877	---M--	200	added ('OK')	image/jpeg	etag:%2242d536d0d57dd71:0%22	http://www.tourdaum.com/upload/banner/main/20210720-%ec%97%ac%ed%96%89%eb%8b%a4%ec%9b%80_%ed%9b%84%ea%b8%b0%ec%9d%b4%eb%b2%a4%ed%8a%b8_web_%eb%a1%a4%eb%a7%81_%ec%88%98%ec%a0%95.jpg	C:/Dia/Dia/www.tourdaum.com/upload/banner/main/20210720-%ec%97%ac%ed%96%89%eb%8b%a4%ec%9b%80_%ed%9b%84%ea%b8%b0%ec%9d%b4%eb%b2%a4%ed%8a%b8_web_%eb%a1%a4%eb%a7%81_%ec%88%98%ec%a0%95.jpg	(from http://www.tourdaum.com/)
00:03:49	26883/26883	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:03:49%20GMT	http://www.tourdaum.com/Customer/NoticeView?nttid=444&searchColumn=&searchword=&searchpreface=&searchpreface2=&searchpreface3=&page=1	C:/Dia/Dia/www.tourdaum.com/Customer/NoticeViewc717.html	(from http://www.tourdaum.com/)
00:03:50	26770/26770	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:03:49%20GMT	http://www.tourdaum.com/Customer/NoticeView?nttid=138&searchColumn=&searchword=&searchpreface=&searchpreface2=&searchpreface3=&page=1	C:/Dia/Dia/www.tourdaum.com/Customer/NoticeViewb1ec.html	(from http://www.tourdaum.com/)
00:03:51	42623/42623	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:03:51%20GMT	http://www.tourdaum.com/Customer/ReViewList	C:/Dia/Dia/www.tourdaum.com/Customer/ReViewList.html	(from http://www.tourdaum.com/)
00:04:20	176922/176922	---M--	200	added ('OK')	image/jpeg	etag:%229c4d4e661b6cd81:0%22	http://www.tourdaum.com/upload/product/thu_sc11.jpg	C:/Dia/Dia/www.tourdaum.com/upload/product/thu_sc11.jpg	(from http://www.tourdaum.com/)
00:04:21	69189/69189	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:04:21%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0117	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect4dd8.html	(from http://www.tourdaum.com/)
00:04:28	676937/676937	---M--	200	added ('OK')	image/jpeg	etag:%224258fde18f71d81:0%22	http://www.tourdaum.com/upload/banner/main/pc_banner_13.jpg	C:/Dia/Dia/www.tourdaum.com/upload/banner/main/pc_banner_13.jpg	(from http://www.tourdaum.com/)
00:04:49	169525/169525	---M--	200	added ('OK')	image/jpeg	etag:%22eef7c9d852d71:0%22	http://www.tourdaum.com/upload/product/thu_ij01.jpg	C:/Dia/Dia/www.tourdaum.com/upload/product/thu_ij01.jpg	(from http://www.tourdaum.com/)
00:05:07	67896/67896	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:05:07%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DD0189	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect3bc9.html	(from http://www.tourdaum.com/)
00:05:26	109120/109120	---M--	200	added ('OK')	image/jpeg	etag:%22ee949ac4196bd81:0%22	http://www.tourdaum.com/upload/product/thu_sc05_22.jpg	C:/Dia/Dia/www.tourdaum.com/upload/product/thu_sc05_22.jpg	(from http://www.tourdaum.com/)
00:05:27	78037/78037	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2015:05:26%20GMT	http://www.tourdaum.com/Product/ProductSelect?productId=DN0023	C:/Dia/Dia/www.tourdaum.com/Product/ProductSelect383b.html	(from http://www.tourdaum.com/)
00:05:37	281398/281398	---M--	200	added ('OK')	image/jpeg	etag:%22ca9ba984826ed81:0%22	http://www.tourdaum.com/upload/product/thu_sc02_31.jpg	C:/Dia/Dia/www.tourdaum.com/upload/product/thu_sc02_31.jpg	(from http://www.tourdaum.com/)
